band1,band2,band3,band4,label
138.5,489.75,390.0,2463.5,1
155.5,492.25,384.5,2437.75,1
227.5,660.25,482.0,2757.5,1
229.5,638.25,489.0,2824.75,1
247.25,713.0,556.0,2851.25,1
283.5,741.0,536.0,2925.25,1
203.0,680.75,501.5,3010.25,1
199.5,668.25,516.0,2917.0,1
198.25,649.75,523.75,2816.5,1
230.75,618.5,509.0,2765.5,1
261.5,662.5,543.25,2917.5,1
241.5,700.0,549.75,2890.75,1
186.0,611.5,536.5,2822.25,1
247.5,655.75,560.0,2710.0,1
239.75,617.0,521.5,2677.75,1
239.75,617.0,521.5,2677.75,1
209.5,598.25,504.75,2804.5,1
223.25,600.75,504.75,2916.25,1
230.5,610.75,523.5,2829.75,1
296.25,704.25,601.75,2832.5,0
241.5,626.25,528.5,2780.0,0
231.75,635.75,470.75,2930.5,0
247.75,625.75,482.75,3038.0,0
300.0,641.5,505.5,3267.25,0
409.25,834.0,751.25,3477.25,0
457.25,804.0,850.5,3054.75,0
290.75,699.5,606.0,2712.25,0
270.0,656.0,541.25,2839.25,0
257.0,627.0,463.25,3010.0,0
284.0,629.25,480.0,3037.75,0
320.0,632.25,502.5,3053.25,0
190.25,447.5,392.75,2241.75,1
180.25,464.25,419.5,2241.25,1
180.25,464.25,419.5,2241.25,1
166.5,430.25,416.75,2078.0,1
145.5,432.75,421.5,1960.25,1
219.5,495.25,507.5,2323.25,1
152.25,459.75,447.5,2142.25,1
90.0,379.75,363.0,1984.5,1
78.5,378.25,347.25,2230.75,1
90.25,364.0,336.25,2115.0,1
93.75,341.25,327.0,1957.75,1
57.5,324.25,317.75,1781.25,1
71.25,393.25,361.0,2152.25,1
59.5,367.25,355.75,2109.75,1
67.75,338.0,338.5,2004.0,1
102.0,412.5,392.0,2310.0,1
105.75,355.5,330.75,2154.25,1
105.75,355.5,330.75,2154.25,1
105.5,422.75,357.0,2412.0,1
93.0,401.0,344.5,2357.5,1
120.5,423.25,376.0,2516.75,1
172.0,506.75,430.25,2556.25,0
155.25,463.75,422.25,2433.5,0
201.0,517.0,463.0,2655.5,0
201.0,517.0,463.0,2655.5,0
417.25,730.5,740.0,3167.0,0
680.25,1089.0,1098.25,3271.0,0
552.25,885.5,924.25,2876.75,0
250.5,629.25,535.25,2842.25,0
230.0,642.5,530.5,2861.25,0
231.5,579.0,426.75,2982.25,0
258.75,553.0,427.25,2951.75,0
258.75,553.0,427.25,2951.75,0
110.5,341.5,320.25,1676.75,1
124.25,361.5,385.5,1890.75,1
124.25,361.5,385.5,1890.75,1
91.5,302.25,284.25,1652.75,1
49.0,279.5,261.75,1436.5,1
133.75,442.0,420.5,1956.0,1
59.75,347.75,324.25,1780.5,1
95.5,355.75,289.0,1742.5,1
85.5,387.25,343.0,1977.5,1
64.75,316.5,271.25,1767.75,1
64.75,316.5,271.25,1767.75,1
54.0,338.0,282.0,1920.0,1
99.75,443.0,319.5,2223.25,1
49.75,339.5,277.5,2028.0,1
59.25,404.25,283.75,2097.5,1
122.75,466.5,359.75,2480.0,1
67.25,309.0,265.25,1859.25,1
67.25,309.0,265.25,1859.25,1
101.0,378.75,340.0,2166.5,1
73.25,304.0,266.0,1732.0,1
117.5,418.0,386.0,1992.0,0
157.25,456.5,412.0,2153.0,0
132.0,431.5,409.5,2136.5,0
427.75,686.75,674.0,2163.25,0
427.75,686.75,674.0,2163.25,0
765.5,1024.5,1082.25,2483.0,0
680.5,1042.5,1088.5,2942.25,0
466.75,840.0,789.25,3044.0,0
415.0,833.5,721.25,3096.5,0
374.0,724.25,619.5,2766.25,0
308.75,627.5,507.75,2815.25,0
206.0,577.5,428.0,2800.25,0
206.0,577.5,428.0,2800.25,0
128.75,431.0,338.75,2038.0,1
133.5,433.5,369.75,2260.5,1
104.75,395.25,330.0,2069.75,1
68.0,322.0,279.25,1754.75,1
114.5,419.75,357.0,1950.5,1
291.5,717.75,557.5,2528.0,1
223.25,631.75,478.5,2341.25,1
201.25,610.75,452.75,2312.5,1
249.5,641.75,485.5,2568.25,1
237.75,630.25,466.5,2516.5,1
222.5,620.5,446.25,2472.5,1
215.0,620.25,477.75,2509.0,1
257.5,676.0,523.75,2744.75,1
188.25,529.0,413.5,2577.5,1
151.75,588.5,346.5,2609.25,1
169.0,548.75,348.5,2731.75,1
127.25,412.75,302.0,2042.25,1
127.25,412.75,302.0,2042.25,1
181.75,540.0,431.25,2358.5,1
165.0,496.5,393.0,2073.5,1
246.5,596.0,469.5,2187.75,1
259.5,633.0,559.0,2400.75,0
354.25,703.5,740.75,2420.75,0
759.0,1034.5,1066.5,2287.25,0
795.75,1079.5,1119.0,2432.0,0
936.75,1187.0,1225.5,2561.25,0
519.25,873.0,813.75,3086.25,0
447.0,859.0,762.75,3210.75,0
477.0,908.0,806.25,3175.0,0
394.75,786.75,752.0,2581.75,0
416.5,755.5,748.25,2615.5,0
406.75,765.0,718.75,2614.25,0
413.25,787.0,710.0,2597.75,0
176.75,554.5,458.5,2285.0,1
173.25,558.0,448.25,2580.5,1
133.25,452.75,377.25,2255.75,1
84.5,349.0,303.0,1972.25,1
198.25,559.5,459.0,2246.5,1
325.25,746.75,603.25,2746.0,1
231.25,662.75,480.5,2824.25,1
239.0,646.0,512.75,2522.5,1
240.75,662.0,504.5,2539.75,1
220.0,660.5,473.0,2579.5,1
205.0,661.5,450.25,2631.25,1
217.5,659.5,500.0,2697.0,1
204.75,630.5,534.0,2601.25,1
134.0,425.75,410.0,2352.0,1
103.25,498.75,366.0,2464.25,1
105.25,453.25,334.5,2576.25,1
145.0,482.25,359.5,2448.0,1
184.5,516.75,391.5,2316.25,1
218.0,632.5,443.25,2506.25,1
205.25,551.75,405.5,2399.0,1
249.5,706.75,500.25,2583.25,1
400.5,837.5,788.0,2881.0,0
645.0,972.5,1086.5,2783.25,0
823.5,1142.5,1225.5,2527.75,0
766.0,1104.75,1143.5,2726.5,0
679.75,1059.25,1101.0,2925.25,0
416.75,807.75,723.25,3328.0,0
387.0,783.75,681.5,3146.5,0
438.5,840.75,752.25,2941.0,0
450.75,829.75,779.5,2526.5,0
448.25,771.0,723.75,2540.75,0
535.0,874.75,863.0,2332.75,0
666.25,1025.75,1091.0,2132.5,0
260.25,628.0,488.5,2380.5,1
206.0,579.75,468.75,2538.75,1
144.5,456.25,402.0,2331.75,1
111.25,396.5,382.25,2157.25,1
243.25,620.25,533.5,2308.5,1
305.0,718.0,567.0,2625.25,0
160.5,536.0,410.0,2588.25,0
147.25,488.5,375.75,2427.25,0
149.0,573.0,374.0,2518.5,0
145.5,591.25,377.5,2589.75,1
163.0,611.25,399.0,2642.25,1
227.5,616.0,452.75,2616.5,1
172.75,541.25,426.25,2347.5,1
112.25,448.25,355.25,2213.25,1
213.0,586.0,445.0,2461.5,1
174.25,528.25,392.25,2453.75,1
152.0,539.25,393.5,2446.75,1
185.5,563.5,404.75,2428.25,1
201.0,546.75,393.25,2365.25,1
173.25,580.5,401.5,2589.25,1
276.75,801.5,565.0,2926.0,1
525.5,900.0,975.5,2879.0,0
702.5,1076.25,1204.5,2596.25,0
974.0,1206.0,1394.5,2290.25,0
1101.5,1334.0,1458.5,2423.5,0
1080.0,1315.0,1364.0,2640.75,0
591.5,938.0,922.25,2999.75,0
527.75,817.25,788.25,2703.5,0
722.25,975.5,1005.25,2298.0,0
717.0,1010.75,1043.5,2502.0,0
371.25,751.0,741.5,2530.25,0
658.25,983.25,1052.0,2481.25,0
1003.75,1288.75,1459.0,2469.75,0
216.25,591.25,406.75,2389.25,1
194.25,563.5,408.5,2397.25,1
176.5,501.5,424.5,2265.25,1
198.75,542.0,454.5,2248.5,1
315.25,736.5,601.0,2541.25,1
314.0,713.75,528.25,2647.5,0
111.75,451.25,334.5,2232.75,0
117.5,438.25,345.0,2325.25,0
154.75,518.0,371.5,2344.0,1
176.75,545.0,389.5,2403.25,1
197.75,576.5,420.75,2455.0,1
224.0,617.25,517.75,2442.5,1
234.0,624.25,480.25,2539.75,1
198.75,655.25,461.5,2575.25,1
275.25,675.25,501.75,2649.25,1
237.0,627.5,453.75,2493.0,1
198.25,595.25,442.5,2426.25,1
195.75,580.75,439.25,2396.5,1
208.75,568.25,432.0,2372.0,1
211.0,670.0,466.25,2764.5,1
284.25,797.5,628.0,2640.75,1
743.0,978.5,1128.0,2404.0,0
969.5,1269.0,1373.5,2269.75,0
994.0,1244.5,1521.5,2213.25,0
1274.5,1503.5,1937.0,2304.0,0
1358.0,1625.0,1984.0,2469.5,0
1059.25,1287.0,1354.0,2559.75,0
1019.5,1207.0,1168.5,2320.25,0
1144.5,1330.0,1509.5,2211.75,0
